,ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
0,101,I code primarily as a hobby,"Student, full-time",,,Primary/elementary school,"Other online resources (e.g., videos, blogs, forum)",Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses;Interactive tutorial,,11,,,,,,South Africa,,,,APL;C++;Python,APL;Assembly;Bash/Shell;C;C++;Haskell;LISP;Perl;Python;Rust,,,,,,,,,,,Atom;Neovim;Vim,Neovim,Linux-based,Linux-based,Git,Command-line,,,,,Zoom,,Favorable,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"Yes, somewhat",Under 18 years old,Man,No,Straight / Heterosexual,White;European,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
1,343,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Programming Games;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges)",,30,21,"Developer, full-stack","5,000 to 9,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,900000.0,Yearly,Bash/Shell;HTML/CSS;JavaScript;PHP;Rust;SQL,Bash/Shell;HTML/CSS;JavaScript;PHP;Rust;SQL,MariaDB;Oracle,MariaDB,Microsoft Azure,Microsoft Azure,Node.js;Svelte;Vue.js,Node.js;Svelte;Vue.js,,,npm,npm,IntelliJ;Notepad++;Visual Studio Code,IntelliJ;Notepad++;Visual Studio Code,Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line,,,,,Microsoft Teams,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;European,None of the above,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Yes,Independent contributor,21.0,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Very long,DevOps function;Microservices,No,No,Yes,Too short,Easy,56897.0
2,625,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum",,20,15,"Developer, full-stack;Developer, back-end;Blockchain",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit,South Africa,USD	United States dollar,115000.0,Yearly,C++;HTML/CSS;JavaScript;Rust;TypeScript,Elixir;Rust;TypeScript,PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,,,React.js,Phoenix,,,Docker,Docker,Emacs;Neovim;Vim;Visual Studio Code,Emacs;Neovim;Vim;Visual Studio Code,Linux-based;macOS,Linux-based;macOS;Windows,Git,Command-line,,,Asana,,Mattermost;Rocketchat;Zoom,,Very favorable,Stack Overflow;Stack Exchange,A few times per week,Not sure/can't remember,,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White;African,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",No,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,115000.0
3,1035,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training",Technical documentation;Blogs;Written Tutorials;Stack Overflow;How-to videos;Interactive tutorial,,7,4,"Developer, full-stack;Developer, mobile;Database administrator;DevOps specialist;Designer",100 to 499 employees,I have some influence,Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,ZAR	South African rand,624000.0,Yearly,Dart;HTML/CSS;Java;JavaScript;SQL,Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript,MongoDB;PostgreSQL,PostgreSQL;Firebase Realtime Database,AWS,AWS;Firebase,Next.js;Node.js;React.js;Vue.js,Next.js;Node.js;React.js,Flutter,Electron;Flutter;React Native;Spring,npm,Kubernetes,Android Studio;IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,macOS;Windows,macOS;Windows,Git,Code editor;Command-line,,,Jira Work Management,Jira Work Management,Microsoft Teams;Slack,Slack,Unfavorable,Stack Overflow,A few times per week,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,39449.0
4,1074,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training","Technical documentation;Written Tutorials;Stack Overflow;Online forum;How-to videos;Auditory material (e.g., podcasts);Coding sessions (live or recorded)",,26,8,"Engineer, data;Developer, full-stack;Engineering manager;Cloud infrastructure engineer;Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with,South Africa,ZAR	South African rand,2600000.0,Yearly,Bash/Shell;Clojure;HTML/CSS;Java;JavaScript;SQL,Clojure;HTML/CSS;Java;JavaScript;SQL,Cloud Firestore;MySQL;PostgreSQL,Cloud Firestore;MySQL;PostgreSQL,Google Cloud,Google Cloud,Express;Gatsby;Next.js;Node.js;React.js,Express;Next.js;Node.js;React.js,,,Docker;Homebrew;Kubernetes;npm,Docker;Homebrew;Kubernetes,Emacs;Sublime Text;Visual Studio Code,Emacs;Sublime Text;Visual Studio Code,Linux-based;macOS,macOS,Git,Code editor;Command-line,,,Notion;Trello,Notion,Microsoft Teams;Slack;Zoom,Slack,Favorable,Stack Overflow,A few times per month or weekly,Not sure/can't remember,,Neutral,35-44 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,Yes,People manager,20.0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,3-5 times a week,6-10 times a week,1-2 times a week,Less than 15 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,No,Yes,Appropriate in length,Easy,164370.0
5,1168,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Bootstrapping a business,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague","Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;Written-based Online Courses;Interactive tutorial;Certification videos",Coursera;Udemy,8,6,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,South Africa,ZAR	South African rand,600000.0,Yearly,C++;HTML/CSS;JavaScript;MATLAB;Python;SQL;TypeScript,C++;HTML/CSS;JavaScript;Kotlin;MATLAB;Python;SQL;TypeScript,Elasticsearch;PostgreSQL,PostgreSQL,,,jQuery;Node.js;React.js,Node.js;React.js;Vue.js,Qt;React Native,Flutter;Qt;React Native,Docker;Kubernetes;npm,Docker;Kubernetes;npm,Notepad++;Qt Creator;Visual Studio;Visual Studio Code,Notepad++;Qt Creator;Visual Studio;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Windows,Git;SVN,Version control hosting service web GUI;Dedicated version control GUI application,,,Jira Work Management;Trello,,Mattermost;Zoom,Mattermost;Zoom,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,No,,Neutral,25-34 years old,Man,No,Straight / Heterosexual,African,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,37932.0
6,1593,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;School (i.e., University, College, etc);Colleague",,,10,4,"Developer, back-end","5,000 to 9,999 employees",I have some influence,Start a free trial;Ask developers I know/work with,South Africa,ZAR	South African rand,,Monthly,Python;Rust,Rust,MariaDB;PostgreSQL,MariaDB;PostgreSQL,AWS,AWS,ASP.NET;ASP.NET Core ;Deno,Deno,,,Ansible;Chef;Docker;Terraform;Unity 3D,Ansible;Chef;Docker;Terraform;Unity 3D,Visual Studio Code,Visual Studio Code,Linux-based,Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Trello,Trello,Microsoft Teams;Slack,Slack,Unfavorable,Stack Overflow,A few times per week,No,,Not sure,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,,,,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
7,1601,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp",Blogs;How-to videos;Certification videos,Coursera;Udemy;Pluralsight,30,27,"Developer, back-end;Engineering manager","10,000 or more employees",I have some influence,Start a free trial,South Africa,ZAR	South African rand,1800000.0,Yearly,C#;SQL,C#;SQL,MongoDB;PostgreSQL,MongoDB;PostgreSQL,,,ASP.NET Core ;Blazor,ASP.NET;ASP.NET Core ;Blazor,.NET,.NET,,,Rider;Visual Studio Code,Rider;Visual Studio Code,macOS,macOS,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,,,Microsoft Teams,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",45-54 years old,Man,No,Straight / Heterosexual,White;African,None of the above,I have an anxiety disorder,Yes,People manager,27.0,Agree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Agree,3-5 times a week,1-2 times a week,3-5 times a week,15-30 minutes a day,60-120 minutes a day,Somewhat long,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,113795.0
8,1712,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague;Hackathons (virtual or in-person)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Auditory material (e.g., podcasts);Coding sessions (live or recorded)",,15,10,"Data scientist or machine learning specialist;Engineer, data;Engineer, site reliability;Developer, back-end;Engineering manager;DevOps specialist;Cloud infrastructure engineer",20 to 99 employees,I have a great deal of influence,Start a free trial;Ask developers I know/work with,South Africa,ZAR	South African rand,1500000.0,Yearly,Elixir;JavaScript;Python;SQL,Elixir;OCaml;Rust,Elasticsearch;PostgreSQL;Redis;SQLite,Cassandra;Elasticsearch;PostgreSQL;Redis;SQLite,AWS;DigitalOcean,AWS;DigitalOcean,Django;FastAPI;Flask;React.js,Django;FastAPI;Phoenix,Apache Kafka;Pandas;TensorFlow,,Docker;Homebrew;Terraform,Docker;Homebrew;Terraform,Emacs;Vim;Visual Studio Code,Emacs;Vim;Visual Studio Code,Linux-based;macOS,Linux-based;macOS,Git,Command-line;Version control hosting service web GUI,,,Jira Work Management,,Slack;Zoom,Slack,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,No,,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,Prefer not to say,Yes,Independent contributor,10.0,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,1-2 times a week,3-5 times a week,3-5 times a week,Less than 15 minutes a day,60-120 minutes a day,Somewhat short,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Observability tools,Yes,Yes,Yes,Too long,Easy,94829.0
9,2239,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;How-to videos;Coding sessions (live or recorded),,25,21,"Developer, full-stack",20 to 99 employees,I have some influence,Other (please specify):;Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,South Africa,ZAR	South African rand,95000.0,Monthly,Clojure;Perl,Clojure,PostgreSQL;Firebase Realtime Database,PostgreSQL;Firebase Realtime Database,AWS;Firebase;Heroku,AWS;Firebase;Heroku,React.js,React.js,,,Docker,Docker,Emacs,Emacs,Linux-based;macOS,Linux-based,Git,Code editor,,,,,Slack;Zoom,Slack;Zoom,Unfavorable,Stack Overflow,Daily or almost daily,No,,Neutral,45-54 years old,Man,No,Straight / Heterosexual,European,None of the above,I have an anxiety disorder,Yes,Independent contributor,25.0,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,3-5 times a week,3-5 times a week,Never,60-120 minutes a day,30-60 minutes a day,Somewhat long,Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,72072.0
